#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#
#
#   Environmental Data for
#   ACCESS_NH3 simulations
#
#   xa    - NH3 at Zhi (ug/m3)              ppfd  - photosynthetic photon flux (umol/m2-s)
#   tak   - air temp at Zhi (K)             nrad  - net solar radiation (W/m2)
#   ts05k - soil temp at 2cm (K)            ustar - friction velocity (m/s)
#   ts55k - soil temp at 55cm (K)           lewm2 - latent heat flux (W/m2)
#   pmb   - air pressure (mbar)             hwm2  - sensible heat flux (W/m2)
#   ubar  - mean wind speed at Zhi (m/s)    gwm2  - soil heat flux (W/m2)
#   rh    - relative humidity (%)           soilm - volumetric soil moisture (m3/m3)
#
#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#########!#
Coweeta April 26-30, 2016
#
#  date     time        xa           tak         ts05k        ts55k         pmb         ubar          rh          ppfd         nrad         ustar        lewm2        hwm2         gwm2         soilm    
2016-04-26 00:00:00  0.19100e+00  2.89904e+02  2.86310e+02  2.85110e+02  9.32109e+02  5.48424e-01  7.44498e+01  0.00000e+00 -4.13783e+01  2.02129e-01 -1.46486e+01  2.19628e+01  2.00089e+00  2.41743e-01
2016-04-26 01:00:00  0.26100e+00  2.88670e+02  2.86280e+02  2.85160e+02  9.31626e+02  7.21310e-01  7.48797e+01  0.00000e+00 -3.68250e+01  1.69560e-01 -6.91177e+00  7.41412e+00  1.70464e+00  2.41648e-01
2016-04-26 02:00:00  0.27400e+00  2.87726e+02  2.86180e+02  2.85120e+02  9.31347e+02  6.97824e-01  7.58055e+01  0.00000e+00 -5.64509e+01  1.64075e-01 -4.94744e+00 -2.17084e+01  1.51817e+00  2.41574e-01
2016-04-26 03:00:00  0.26400e+00  2.87171e+02  2.86090e+02  2.85100e+02  9.30945e+02  7.31794e-01  8.17656e+01  0.00000e+00 -5.76618e+01  1.64343e-01 -4.83371e+00 -7.80872e+00  1.28289e+00  2.41464e-01
2016-04-26 04:00:00  0.16400e+00  2.86757e+02  2.86060e+02  2.85140e+02  9.31081e+02  8.08355e-01  8.52400e+01  0.00000e+00 -4.73210e+01  1.86111e-01 -1.31387e+01 -2.74519e+01  1.00792e+00  2.41347e-01
2016-04-26 05:00:00  0.10700e+00  2.86814e+02  2.86020e+02  2.85170e+02  9.31521e+02  9.64128e-01  8.62108e+01  2.73419e+00 -4.76314e+01  2.00841e-01 -1.90908e+00  1.30742e+00  7.74996e-01  2.41240e-01
2016-04-26 06:00:00  0.10500e+00  2.88123e+02  2.86050e+02  2.85260e+02  9.32269e+02  8.75110e-01  8.67409e+01  6.04246e+01 -5.20566e+00  2.74677e-01  3.10675e+00 -6.10586e+01  5.93924e-01  2.41151e-01
2016-04-26 07:00:00  0.09500e+00  2.91058e+02  2.86220e+02  2.85480e+02  9.32723e+02  6.74271e-01  8.38997e+01  2.77460e+02  1.09783e+02  2.42028e-01  6.57898e+01  5.50007e+01  6.09828e-01  2.41074e-01
2016-04-26 08:00:00  0.07000e+00  2.93528e+02  2.86530e+02  2.85810e+02  9.32790e+02  1.28825e+00  7.45136e+01  5.09774e+02  2.42853e+02  2.45220e-01  1.59375e+02  6.89787e+01  1.03813e+00  2.40965e-01
2016-04-26 09:00:00  0.13600e+00  2.94383e+02  2.86700e+02  2.85940e+02  9.32676e+02  7.46075e-01  6.17641e+01  5.54622e+02  2.68841e+02  5.35987e-01  9.68352e+01  1.47148e+02  1.95482e+00  2.40817e-01
2016-04-26 10:00:00  0.25100e+00  2.95450e+02  2.86790e+02  2.85930e+02  9.32237e+02  1.77851e+00  4.77136e+01  8.40115e+02  4.35649e+02  1.10906e+00  1.16613e+02  4.56062e+02  3.09025e+00  2.40597e-01
2016-04-26 11:00:00  0.29500e+00  2.96249e+02  2.86820e+02  2.85820e+02  9.31771e+02  1.63357e+00  4.54640e+01  8.67138e+02  4.47061e+02  3.03650e-01  1.36390e+02  2.74832e+02  4.20180e+00  2.40332e-01
